ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
